iter	RMSE
0	1.021615163
1	1.011853063
2	1.002644888
3	0.9913634919
4	0.9782327096
5	0.966355807
6	0.9528420752
7	0.9402267227
8	0.9268945264
9	0.9148040734
10	0.904498885
11	0.8906983942
12	0.8794945401
13	0.8673799183
14	0.8572201728
15	0.8478468637
16	0.8372035182
17	0.8275413259
18	0.8195049857
19	0.8075121264
20	0.7961928867
21	0.7875281728
22	0.7782571506
23	0.7691201843
24	0.760125633
25	0.7508213505
26	0.7438602395
27	0.7383446286
28	0.7281376256
29	0.7182192477
30	0.7094384097
31	0.7002916326
32	0.6926937923
33	0.6859556903
34	0.6779618397
35	0.6692165944
36	0.6609434041
37	0.6526791264
38	0.6458606649
39	0.638342649
40	0.6315742773
41	0.6243041269
42	0.6165708795
43	0.6112212037
44	0.6042357369
45	0.5975150748
46	0.5895884109
47	0.5835395366
48	0.5778244223
49	0.5714607703
50	0.5653032711
51	0.5578162905
52	0.5506293468
53	0.5435203155
54	0.5366677528
55	0.5321895749
56	0.5261696187
57	0.5186684281
58	0.5111332556
59	0.5046510822
60	0.4991037545
61	0.493600488
62	0.4883099295
63	0.4819724526
64	0.4771601889
65	0.4719060001
66	0.4662936643
67	0.4619170502
68	0.4550722233
69	0.4502023999
70	0.4448429924
71	0.4407035769
72	0.4364934294
73	0.4314698719
74	0.4262329672
75	0.4222250521
76	0.4173286309
77	0.4128775694
78	0.4087130645
79	0.4039263121
80	0.3996315623
81	0.3945183082
82	0.3907261913
83	0.3868382283
84	0.3821922849
85	0.3774651701
86	0.3742194609
87	0.3714722218
88	0.3665679154
89	0.3634089711
90	0.3603533996
91	0.3562030302
92	0.3519046868
93	0.3481331915
94	0.3448972151
95	0.3405191836
96	0.3367624151
97	0.3325817173
98	0.3298662123
99	0.3267286235
100	0.323243998
101	0.3199452464
102	0.3178256811
103	0.3134217007
104	0.3100800517
105	0.3063084638
106	0.3031198562
107	0.3000195845
108	0.2968764096
109	0.2937619915
110	0.2914834486
111	0.2891191534
112	0.2865362987
113	0.2840403157
114	0.2805085894
115	0.2774050511
116	0.2751553219
117	0.272234075
118	0.2693934435
119	0.2672167097
120	0.2646298557
121	0.261687488
122	0.2594746991
123	0.2572554351
124	0.2549871481
125	0.2534516777
126	0.251563233
127	0.248748361
128	0.2461345156
129	0.2439517765
130	0.2421685492
131	0.2400081989
132	0.2376432691
133	0.2358456782
134	0.2334123003
135	0.2306713944
136	0.2289233681
137	0.2268779694
138	0.224374339
139	0.2222731269
140	0.2201285629
141	0.2184592654
142	0.2159422442
143	0.2140181587
144	0.2127180508
145	0.2103910012
146	0.2078913488
147	0.2059399895
148	0.2042992704
149	0.2024945985
150	0.2006357919
151	0.19893623
152	0.1969537622
153	0.1956089637
154	0.1939698276
155	0.1921928858
156	0.1904812163
157	0.189221927
158	0.1871416236
159	0.185600977
160	0.1840169914
161	0.1825461663
162	0.1807685408
163	0.1791702133
164	0.1774474921
165	0.1763060372
166	0.1744842087
167	0.1728314133
168	0.1718667564
169	0.1702359547
170	0.1688153752
171	0.1672438914
172	0.1658830458
173	0.1643818108
174	0.1627194787
175	0.1611994292
176	0.1598940831
177	0.1588769599
178	0.1580908666
179	0.1564473355
180	0.1551382456
181	0.1536725859
182	0.1523005628
183	0.1506446477
184	0.1492743615
185	0.1481415698
186	0.1469711097
187	0.1462090645
188	0.1449898998
189	0.1438377865
190	0.1427789727
191	0.1417938213
