iter	Passed	Remaining
0	51	51364
1	52	26110
2	53	17631
3	53	13398
4	54	10934
5	55	9164
6	56	8085
7	58	7315
8	60	6610
9	61	6042
10	62	5642
11	63	5208
12	63	4838
13	64	4521
14	69	4582
15	71	4372
16	71	4139
17	74	4057
18	74	3871
19	75	3697
20	75	3539
21	77	3450
22	91	3890
23	92	3743
24	92	3617
25	93	3491
26	93	3375
27	94	3266
28	97	3274
29	98	3178
30	99	3122
31	103	3126
32	105	3078
33	106	3017
34	107	2968
35	108	2905
36	109	2845
37	110	2788
38	111	2736
39	111	2687
40	113	2644
41	113	2588
42	115	2570
43	116	2523
44	116	2476
45	117	2430
46	118	2411
47	121	2409
48	121	2367
49	122	2325
50	123	2292
51	124	2278
52	125	2241
53	125	2205
54	126	2181
55	127	2151
56	128	2126
57	129	2108
58	130	2081
59	132	2078
60	133	2049
61	133	2023
62	134	2000
63	134	1973
64	136	1957
65	140	1981
66	140	1956
67	141	1941
68	142	1918
69	142	1894
70	143	1880
71	144	1859
72	147	1872
73	148	1855
74	149	1841
75	149	1821
76	153	1836
77	155	1836
78	155	1816
79	156	1797
80	156	1779
81	159	1788
82	160	1775
83	161	1757
84	161	1739
85	163	1734
86	163	1718
87	167	1735
88	169	1734
89	169	1715
90	170	1699
91	170	1687
92	171	1672
93	176	1704
94	177	1689
95	180	1696
96	180	1681
97	181	1666
98	181	1651
99	182	1645
100	185	1648
101	188	1658
102	188	1643
103	189	1630
104	189	1616
105	195	1645
106	195	1632
107	196	1619
108	196	1606
109	201	1628
110	206	1652
111	206	1640
112	208	1638
113	211	1641
114	211	1628
115	212	1622
116	213	1614
117	214	1602
118	215	1595
119	216	1584
120	219	1592
121	219	1581
122	222	1585
123	223	1576
124	225	1580
125	228	1583
126	228	1572
127	229	1561
128	229	1552
129	230	1543
130	231	1535
131	231	1524
132	234	1529
133	235	1519
134	235	1508
135	240	1527
136	240	1517
137	241	1507
138	241	1497
139	243	1494
140	243	1485
141	244	1476
142	244	1466
143	245	1457
144	247	1459
145	248	1456
146	249	1450
147	250	1441
148	252	1443
149	254	1441
150	256	1442
151	257	1434
152	257	1425
153	257	1416
154	261	1427
155	263	1425
156	264	1420
157	265	1415
158	266	1410
159	267	1402
160	267	1395
161	268	1387
162	268	1380
163	273	1392
164	276	1399
165	277	1391
166	277	1384
167	277	1376
168	281	1383
169	281	1376
170	283	1373
171	283	1366
172	284	1359
173	285	1354
174	285	1347
175	286	1340
176	287	1338
177	288	1331
178	288	1324
179	289	1317
180	289	1311
181	290	1305
182	291	1299
183	291	1292
184	291	1286
185	292	1279
186	293	1276
187	294	1270
188	294	1263
189	297	1269
190	300	1271
191	300	1265
192	301	1260
193	303	1262
194	304	1256
195	304	1251
196	305	1245
197	305	1239
198	306	1233
199	309	1236
200	309	1231
201	310	1225
202	310	1219
203	313	1224
204	315	1224
205	316	1221
206	317	1216
207	318	1210
208	318	1205
209	319	1200
210	320	1196
211	321	1195
212	323	1194
213	326	1199
214	327	1196
215	328	1191
216	328	1186
217	329	1181
218	329	1176
219	331	1175
220	332	1172
221	334	1171
222	334	1166
223	335	1161
224	335	1156
225	337	1155
226	337	1150
227	338	1146
228	404	1363
229	414	1388
230	415	1382
231	415	1376
232	416	1370
233	416	1364
234	417	1359
235	418	1353
236	418	1347
237	419	1341
238	419	1336
239	420	1330
240	420	1325
241	421	1320
242	433	1349
243	433	1343
244	434	1337
245	434	1331
246	435	1326
247	435	1321
248	436	1316
249	436	1310
250	437	1305
251	443	1317
252	444	1312
253	447	1314
254	448	1309
255	448	1304
256	449	1299
257	449	1293
258	450	1288
259	450	1283
260	455	1288
261	455	1283
262	456	1278
263	459	1280
264	460	1277
265	461	1272
266	462	1270
267	463	1266
268	464	1261
269	468	1267
270	469	1263
271	471	1262
272	472	1257
273	472	1253
274	473	1248
275	474	1243
276	475	1240
277	476	1237
278	477	1233
279	478	1230
280	479	1227
281	481	1225
282	482	1223
283	487	1227
284	492	1235
285	493	1232
286	495	1230
287	495	1225
288	496	1220
289	496	1216
290	500	1220
291	502	1219
292	503	1216
293	504	1211
294	505	1206
295	505	1202
296	508	1203
297	514	1212
298	630	1477
299	630	1471
300	631	1465
301	631	1459
302	632	1454
303	632	1448
304	633	1442
305	633	1436
306	633	1431
307	634	1425
308	634	1419
309	635	1414
310	635	1408
311	636	1402
312	636	1397
313	637	1392
314	641	1395
315	642	1390
316	642	1384
317	643	1379
318	643	1374
319	644	1368
320	644	1363
321	644	1357
322	646	1355
323	647	1350
324	647	1344
325	647	1339
326	648	1334
327	648	1329
328	654	1334
329	654	1329
330	655	1324
331	662	1333
332	663	1328
333	663	1323
334	664	1319
335	665	1314
336	665	1309
337	666	1305
338	667	1302
339	668	1298
340	670	1296
341	672	1293
342	672	1288
343	673	1285
344	674	1281
345	675	1276
346	676	1272
347	679	1273
348	680	1269
349	680	1264
350	681	1259
351	682	1256
352	682	1251
353	683	1247
354	683	1242
355	684	1238
356	685	1234
357	686	1230
358	690	1233
359	691	1229
360	693	1227
361	695	1226
362	696	1222
363	698	1220
364	699	1217
365	701	1214
366	701	1210
367	704	1209
368	707	1209
369	708	1205
370	708	1201
371	708	1196
372	710	1194
373	711	1191
374	712	1188
375	714	1186
376	717	1185
377	719	1183
378	719	1179
379	724	1181
380	725	1179
381	726	1175
382	730	1176
383	731	1172
384	732	1170
385	733	1166
386	734	1162
387	734	1158
388	736	1156
389	739	1156
390	739	1152
391	740	1148
