iter	RMSE
0	0.9680048498
1	0.9591469022
2	0.9494687009
3	0.9391133509
4	0.9309029767
5	0.9233223205
6	0.9160261198
7	0.906030466
8	0.8965821793
9	0.8876179589
10	0.8798545018
11	0.870451383
12	0.8630439323
13	0.8539395711
14	0.8444969998
15	0.836933967
16	0.8292356058
17	0.8205654164
18	0.813402154
19	0.8052007036
20	0.7965797047
21	0.7894893344
22	0.7812935529
23	0.7745126661
24	0.7681568175
25	0.7613568021
26	0.7548180884
27	0.7469604016
28	0.7398718593
29	0.7340382184
30	0.7278475544
31	0.7194591338
32	0.7151079565
33	0.7081983521
34	0.7021476604
35	0.6957972819
36	0.6897568294
37	0.6831525996
38	0.6778323095
39	0.6710707815
40	0.665385803
41	0.6601384668
42	0.6554181664
43	0.6502970897
44	0.6447452672
45	0.639318695
46	0.6331302137
47	0.6284940425
48	0.6230534422
49	0.6178066638
50	0.6125023256
51	0.6074859405
52	0.6028997584
53	0.5979254139
54	0.5939777238
55	0.5904103611
56	0.5860153396
57	0.5819303199
58	0.577307322
59	0.5743935058
60	0.5699108997
61	0.5653458308
62	0.5608232015
63	0.5565362279
64	0.5511200021
65	0.5470707525
66	0.5423577007
67	0.5383295777
68	0.5348420128
69	0.5304520784
70	0.5271940118
71	0.5227337841
72	0.5187272848
73	0.5156120811
74	0.511835099
75	0.5083656956
76	0.5050469247
77	0.5023329215
78	0.4993525017
79	0.4953466077
80	0.491809697
81	0.487635201
82	0.4838174492
83	0.4821287993
84	0.4789010692
85	0.4753154549
86	0.4721316714
87	0.4690239725
88	0.4656386453
89	0.4623350788
90	0.4583814071
91	0.455281582
92	0.4521367834
93	0.4491149831
94	0.4457839703
95	0.4429124558
96	0.4397040803
97	0.4366273671
98	0.4343796896
99	0.4314810904
100	0.4278932248
101	0.4257806575
102	0.4229256632
103	0.4198632196
104	0.4168418407
105	0.4140362362
106	0.411162723
107	0.4087090796
108	0.4066582896
109	0.4038661235
110	0.4011603794
111	0.3986794497
112	0.39653399
113	0.3940356175
114	0.3923111589
115	0.3899088434
116	0.3874958419
117	0.3847188004
118	0.382751171
119	0.3803545301
120	0.3784212063
121	0.3761543735
122	0.3740895153
123	0.3726054824
124	0.3705529973
125	0.3682342857
126	0.3654551171
127	0.3637421573
128	0.3618549096
129	0.3597074223
130	0.3574794053
131	0.3555980239
132	0.3538943027
133	0.3519520182
134	0.3497402543
135	0.3485075859
136	0.3472546178
137	0.3453791636
138	0.3438187023
139	0.3418573477
140	0.3400966729
141	0.3381147971
142	0.3362452175
143	0.3343278459
144	0.3325363308
145	0.3308718933
146	0.329017039
147	0.3272673301
148	0.3254965382
149	0.3238282701
150	0.3219492038
151	0.320356191
152	0.3187868989
153	0.3171111378
154	0.3154479111
155	0.3142350503
156	0.3127391649
157	0.3116525605
158	0.3100481282
159	0.3086280223
160	0.3072133244
161	0.3062603728
162	0.3046440853
163	0.3031313919
164	0.3018557117
165	0.3005972714
166	0.2992059924
167	0.2976696091
168	0.2961260946
169	0.2948609302
170	0.2931224363
171	0.2915715935
172	0.2900930826
173	0.2889089977
174	0.287136969
175	0.2859886869
176	0.2846912094
177	0.2833720515
178	0.2816295991
179	0.2804796929
180	0.2788655992
181	0.2778218531
182	0.2762698392
183	0.2751795112
184	0.2737628525
185	0.2728440702
186	0.2713129718
187	0.2701425486
188	0.268522456
189	0.2672872431
190	0.2665108287
191	0.265305907
192	0.2643556607
193	0.2634658374
194	0.2623067696
195	0.2611942636
196	0.2598284296
197	0.2586319755
198	0.2575067801
199	0.2563473842
200	0.2555569134
201	0.2544900027
202	0.2533818587
203	0.252058186
204	0.2512222546
205	0.2502993001
206	0.2491230058
207	0.2480102447
208	0.2469317164
209	0.2460322632
210	0.2451336012
211	0.2445252434
212	0.2438688068
213	0.2427007613
214	0.241823151
215	0.2407934567
