iter	RMSE
0	0.9748049597
1	0.9648362788
2	0.9532760227
3	0.9412116011
4	0.9298748555
5	0.9191323979
6	0.9040980219
7	0.8916034351
8	0.8790277416
9	0.8650885182
10	0.8521160953
11	0.8383465781
12	0.8261607362
13	0.81475622
14	0.8036769255
15	0.7935070697
16	0.7818509504
17	0.7716916684
18	0.7640464882
19	0.752248813
20	0.7410007474
21	0.7317154521
22	0.722558424
23	0.7137711793
24	0.7048176604
25	0.6944676142
26	0.6874032689
27	0.6785853063
28	0.6701669654
29	0.6614536614
30	0.6534670839
31	0.6448460698
32	0.637373577
33	0.6298338018
34	0.6224467301
35	0.6130573248
36	0.6040889037
37	0.597565003
38	0.5905058225
39	0.5836367848
40	0.5760537561
41	0.5684576996
42	0.5608800826
43	0.555521609
44	0.5497561979
45	0.5431926664
46	0.5366836283
47	0.5306698587
48	0.5249575785
49	0.5192229336
50	0.5132413763
51	0.5071764394
52	0.500836512
53	0.4951270368
54	0.4882883836
55	0.482587416
56	0.4766080811
57	0.4705584221
58	0.4632398924
59	0.4573038078
60	0.4523220204
61	0.4475151898
62	0.4427217158
63	0.4365597236
64	0.4317039821
65	0.4270730966
66	0.4218751088
67	0.4182625422
68	0.4128910879
69	0.4081395609
70	0.4032380604
71	0.3998268464
72	0.3956049376
73	0.3916084822
74	0.3863792278
75	0.3806652192
76	0.3758561814
77	0.3713932909
78	0.3673801969
79	0.3629459784
80	0.3588937892
81	0.3544224154
82	0.3504024579
83	0.3467949636
84	0.343270298
85	0.3394910618
86	0.3361626445
87	0.3327646616
88	0.3298133644
89	0.3265414391
90	0.3238553258
91	0.3205761452
92	0.3170898194
93	0.3137868477
94	0.310754123
95	0.3070942735
96	0.3037226773
97	0.3011080549
98	0.2978079345
99	0.2943474589
100	0.2913783167
101	0.2879640779
102	0.2848942951
103	0.2814372083
104	0.278241547
105	0.2755321651
106	0.2724122649
107	0.2691844069
108	0.2668899894
109	0.2640265087
110	0.2615497016
111	0.2582083321
112	0.2557096049
113	0.2534350414
114	0.2509019875
115	0.2488214048
116	0.2462637549
117	0.2439129317
118	0.2421231707
119	0.2399385801
120	0.2372459173
121	0.2354451966
122	0.2334161025
123	0.2316965068
124	0.2290855939
125	0.2263248421
126	0.2240774006
127	0.2221383559
128	0.2200083467
129	0.2181535613
130	0.2160320135
131	0.2140279827
132	0.2120124217
133	0.2098397909
134	0.2082567023
135	0.2069153545
136	0.2048953535
137	0.2030206335
138	0.2010598483
139	0.1997728487
140	0.1978603637
141	0.1955889727
142	0.1938780751
143	0.191364032
144	0.1893684189
145	0.1871155693
146	0.1854592313
147	0.1836667141
148	0.1816094756
149	0.1801376079
150	0.1782855818
151	0.1767062237
152	0.1747206386
153	0.1733888571
154	0.1717180408
155	0.1703857216
156	0.1688722519
157	0.1671573414
158	0.1657945516
159	0.1640907254
160	0.1628619706
161	0.1616818135
162	0.1599608575
163	0.1584992943
164	0.1572329598
165	0.1557875375
166	0.1545566158
167	0.1532685328
168	0.1520794258
169	0.1504763827
170	0.1488584404
171	0.1475906294
172	0.1461929171
173	0.144613081
174	0.1435296985
175	0.1422439179
176	0.1410120412
177	0.140000261
178	0.1388436275
179	0.1374734931
180	0.1365926702
181	0.1354405111
182	0.1342473278
183	0.1331437795
184	0.1320227453
185	0.1307834196
186	0.1294394495
187	0.1283981653
188	0.1270273394
189	0.1259240657
190	0.1248875244
191	0.1241168398
192	0.1228863079
193	0.1215081044
194	0.1204033313
195	0.1195329034
196	0.1184698587
197	0.117430815
198	0.1166439691
199	0.1157451766
200	0.1147920142
201	0.1138901436
202	0.1128630296
203	0.1120881804
204	0.1112240557
205	0.1101701195
206	0.1092930758
207	0.1084932972
208	0.1074824876
209	0.1065251023
210	0.1056642648
211	0.1048937169
212	0.1039513779
213	0.1031626202
214	0.1024196597
215	0.1017167977
216	0.1009902204
217	0.1001836609
218	0.09950259868
219	0.09867149433
220	0.09776655913
221	0.09704073096
222	0.09625589093
223	0.09545513377
224	0.09474107669
225	0.09394105618
226	0.09322439398
227	0.09250991407
228	0.09157230479
229	0.09056705015
230	0.08986354279
231	0.08922946765
232	0.08851411694
233	0.08776657916
234	0.08700889971
235	0.0863218056
236	0.08567399875
237	0.08502390345
238	0.08432640161
239	0.08373147274
240	0.08305426767
241	0.08246638868
242	0.08190725855
243	0.08129573967
244	0.08065429061
245	0.08019692819
246	0.07962989879
247	0.07908717832
248	0.07844760037
249	0.07791320722
250	0.07731407747
251	0.07681470982
252	0.0762936561
253	0.07593985763
254	0.07522652419
255	0.07470913463
256	0.07419095138
257	0.07369137973
258	0.07314437398
259	0.07282591528
260	0.07225665482
261	0.07176208715
262	0.0711928379
263	0.07072353851
264	0.07031797434
265	0.06980649705
266	0.06938763386
267	0.06877786433
268	0.06822746745
269	0.0676985712
270	0.06727652934
271	0.06679887432
272	0.06637397901
273	0.06593405101
274	0.06533574819
275	0.06503891016
276	0.06465763202
277	0.06427038257
278	0.06387431244
279	0.06363430738
280	0.06326897992
281	0.06291456286
282	0.06256964938
283	0.06211178996
284	0.06162718668
285	0.06108357851
286	0.06068708331
287	0.0603285017
288	0.06001132382
289	0.05962817439
290	0.059203875
291	0.058719012
292	0.0582475271
293	0.05790184905
294	0.05757377798
295	0.05719692526
296	0.05670732188
297	0.05631880147
298	0.05604273084
299	0.05579611832
300	0.0554130622
301	0.05510891254
302	0.05480415773
303	0.05454611491
304	0.05418753066
305	0.05397172683
306	0.05359406108
307	0.05336279626
308	0.05299159927
309	0.05270748222
310	0.05239767485
311	0.05212219163
312	0.05183605771
313	0.0513976546
314	0.05103281082
315	0.05066221805
316	0.05032231705
317	0.05008277054
318	0.04987372161
319	0.04962983777
320	0.04942114745
321	0.04909399044
322	0.04890784956
323	0.04859976393
324	0.0483031936
325	0.0480006487
326	0.04776231203
327	0.0474685759
328	0.04711778425
329	0.04686845775
330	0.04670110401
331	0.04657004862
332	0.04628992388
333	0.04593694243
334	0.04563410363
335	0.04545910838
336	0.04517881649
337	0.04502318945
338	0.04473430213
339	0.04448485972
340	0.04436457668
341	0.04403691297
342	0.04383063223
343	0.04360329053
344	0.04328616217
345	0.04308476778
346	0.04297064552
347	0.04277368678
348	0.04263917943
349	0.04243555875
350	0.04230472191
351	0.04217512988
352	0.04190187015
353	0.04177344173
354	0.04166794577
355	0.04149511535
356	0.04139130427
357	0.0412887932
358	0.04102195486
359	0.04092170631
360	0.04080208333
361	0.04054118947
362	0.04035348649
363	0.04010063092
364	0.03981900755
365	0.03963671198
366	0.03946707987
367	0.03927529573
368	0.03913980797
369	0.0390377287
370	0.03892744572
371	0.03882734307
372	0.03872863044
373	0.03863128833
374	0.03850680075
375	0.0383844897
376	0.03822292139
377	0.0381301374
378	0.03804557354
379	0.03790859633
380	0.03782600377
381	0.03774449244
382	0.03747504197
383	0.03738818074
384	0.03721505473
385	0.03712768453
386	0.03703311974
387	0.03694650863
388	0.03686263778
389	0.03677174625
390	0.03660142533
391	0.03651992516
392	0.0363054099
393	0.03604953872
394	0.03595647561
395	0.0358648628
396	0.03580957569
397	0.03556899648
398	0.03540662665
399	0.03531840901
400	0.03518784689
401	0.03499423975
402	0.03486732311
403	0.03466669608
404	0.03447168412
405	0.03424551143
406	0.03405500023
407	0.03397304239
408	0.03378646713
409	0.03356852861
410	0.03344925279
411	0.03337065528
412	0.03318974502
413	0.03302137554
414	0.03290761417
415	0.03273313772
416	0.03251000579
417	0.03235434155
418	0.03218640107
419	0.03202140126
420	0.03181434654
421	0.03170689381
422	0.03154575107
423	0.03136588673
424	0.03122110289
425	0.03107865232
426	0.03097598262
427	0.03076801889
428	0.03061674453
429	0.03042049299
430	0.03022219315
431	0.03008774394
432	0.02988876559
433	0.02969033974
434	0.02951080457
435	0.02933533961
436	0.02917566642
437	0.02903612611
438	0.02889927442
439	0.02872873619
440	0.02860167307
441	0.0284352137
