iter	Passed	Remaining
440	1296	1643
441	1299	1640
442	1302	1637
443	1304	1633
444	1307	1630
445	1310	1627
446	1313	1625
447	1316	1622
448	1319	1619
449	1322	1616
450	1325	1613
451	1328	1610
452	1331	1607
453	1334	1604
454	1336	1601
455	1339	1598
456	1342	1594
457	1345	1592
458	1348	1588
459	1350	1585
460	1353	1582
461	1356	1579
462	1359	1576
463	1361	1573
464	1364	1569
465	1367	1567
466	1370	1564
467	1373	1561
468	1377	1559
469	1380	1556
470	1383	1553
471	1385	1550
472	1388	1547
473	1391	1544
474	1394	1541
475	1397	1538
476	1400	1535
477	1402	1531
478	1405	1528
479	1407	1525
480	1410	1521
481	1413	1518
482	1415	1515
483	1418	1512
484	1420	1508
485	1424	1506
486	1427	1503
487	1429	1500
488	1432	1496
489	1435	1493
490	1438	1491
491	1441	1488
492	1444	1485
493	1447	1482
494	1450	1479
495	1453	1476
496	1456	1474
497	1459	1471
498	1463	1468
499	1466	1466
500	1469	1463
501	1472	1460
502	1475	1457
503	1477	1454
504	1480	1451
505	1483	1448
506	1485	1444
507	1488	1441
508	1491	1438
509	1494	1435
510	1497	1432
511	1500	1429
512	1502	1426
513	1505	1423
514	1508	1420
515	1511	1417
516	1514	1414
517	1517	1411
518	1519	1408
519	1522	1405
520	1524	1401
521	1527	1398
522	1530	1395
523	1533	1392
524	1535	1389
525	1539	1386
526	1542	1384
527	1544	1380
528	1547	1377
529	1549	1374
530	1552	1371
531	1555	1368
532	1557	1364
533	1560	1361
534	1563	1358
535	1566	1356
536	1569	1353
537	1572	1350
538	1574	1346
539	1581	1347
540	1585	1345
541	1588	1342
542	1591	1339
543	1594	1336
544	1597	1333
545	1600	1330
546	1604	1328
547	1607	1326
548	1611	1323
549	1616	1322
550	1621	1321
551	1625	1318
552	1627	1315
553	1630	1312
554	1633	1309
555	1636	1306
556	1638	1303
557	1640	1299
558	1643	1296
559	1645	1293
560	1648	1290
561	1651	1287
562	1654	1284
563	1657	1281
564	1660	1278
565	1663	1275
566	1666	1272
567	1668	1269
568	1671	1265
569	1673	1262
570	1675	1259
571	1678	1255
572	1681	1253
573	1684	1250
574	1687	1247
575	1689	1244
576	1692	1240
577	1694	1237
578	1697	1234
579	1699	1230
580	1701	1227
581	1704	1223
582	1706	1220
583	1709	1217
584	1711	1214
585	1715	1211
586	1720	1210
587	1723	1207
588	1726	1204
589	1729	1202
590	1731	1198
591	1734	1195
592	1738	1192
593	1741	1189
594	1744	1187
595	1747	1184
596	1750	1181
597	1753	1178
598	1755	1175
599	1758	1172
600	1761	1169
601	1765	1167
602	1768	1164
603	1771	1161
604	1774	1158
605	1779	1157
606	1782	1153
607	1785	1151
608	1788	1148
609	1791	1145
610	1796	1143
611	1800	1141
612	1804	1139
613	1807	1136
614	1810	1133
615	1812	1130
616	1815	1127
617	1818	1124
618	1823	1122
619	1826	1119
620	1828	1116
621	1831	1113
622	1834	1109
623	1836	1106
624	1839	1103
625	1842	1100
626	1845	1097
627	1848	1095
628	1851	1092
629	1853	1088
630	1856	1085
631	1861	1083
632	1863	1080
633	1866	1077
634	1869	1074
635	1872	1071
636	1875	1068
637	1878	1065
638	1881	1062
639	1884	1059
640	1887	1057
641	1891	1054
642	1894	1051
643	1897	1048
644	1899	1045
645	1902	1042
646	1905	1039
647	1908	1036
648	1912	1034
649	1915	1031
650	1919	1029
